"","id","original_title","genres","release_date","revenue","budget","runtime","animation","comedy","family","adventure","fantasy","drama","romance","action","crime","thriller","history","mystery","music","horror","war","documentary","western","scifi"
"201","9090","towongfoothanksforeverythingjulienewmar","[{'id': 35, 'name': 'Comedy'}]","1995-09-07",47774193,"0",105,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"202","3512","undersiege2darkterritory","[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]","1995-07-13",104324083,"60000000",100,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
"205","9560","awalkintheclouds","[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]","1995-08-11",50012507,"20000000",103,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"206","9804","waterworld","[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}]","1995-07-28",264218220,"175000000",135,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"211","50797","ÒÇÒëÒãÒÅÒÜ","[{'id': 18, 'name': 'Drama'}]","1994-05-01",2616503,"2800000",135,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"212","19155","beforetherain","[{'id': 18, 'name': 'Drama'}, {'id': 10752, 'name': 'War'}]","1994-06-09",763847,"0",113,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
"213","76","beforesunrise","[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]","1995-01-27",5535405,"2500000",105,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"214","11017","billymadison","[{'id': 35, 'name': 'Comedy'}]","1995-02-10",26488734,"10000000",89,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"216","9382","boysontheside","[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]","1995-02-03",23450000,"21000000",115,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"220","2292","clerks","[{'id': 35, 'name': 'Comedy'}]","1994-09-13",3151130,"27000",92,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"221","1909","donjuandemarco","[{'id': 10749, 'name': 'Romance'}, {'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]","1994-10-01",22200000,"25000000",97,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"222","8984","disclosure","[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}, {'id': 9648, 'name': 'Mystery'}, {'id': 10749, 'name': 'Romance'}]","1994-12-09",214015089,"55000000",123,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0
