"","X","budget","runtime","comedy","family","adventure","drama","history","horror","documentary","actorMovieCount","directorMovieCount","domestic","newyearsday","presidentsday","christmaseve","newyearsdayobserved","DirectorEarnings","success_1_to_1"
"225",225,5e+06,96,0,0,0,0,0,1,0,3,1,1,0,0,0,0,242295562,1
"226",226,8e+06,89,0,0,0,0,0,1,0,2,8,0,0,0,0,0,398408431,1
"227",227,24078133.8007948,113,0,0,0,1,0,0,0,0,1,0,0,0,0,0,12400000,0
"228",228,24078133.8007948,117,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
"229",229,5e+07,127,1,1,0,1,0,0,0,0,1,1,0,0,0,0,26657534,1
"230",230,4e+06,93,1,0,0,1,0,0,0,5,12,1,0,0,0,0,432672562,1
"231",231,8e+06,90,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
"232",232,3e+07,130,0,0,0,1,1,0,0,0,3,1,0,0,0,0,595236346,0
"233",233,3.8e+07,95,1,0,0,1,0,0,0,8,3,0,0,0,0,0,80730702,1
"234",234,4e+06,119,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
"235",235,1.1e+07,108,0,0,0,1,0,1,0,0,1,0,0,0,0,0,2227167,0
"236",236,3e+07,108,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
"237",237,12500000,120,0,0,0,1,0,0,0,0,1,1,0,0,0,0,64414761,1
"238",238,2.3e+07,114,1,0,0,1,0,0,0,0,1,1,0,0,0,0,32645546,0
"239",239,24078133.8007948,115,1,0,1,0,0,0,0,12,0,0,0,0,0,0,0,1
"240",240,24078133.8007948,110,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"241",241,8e+05,105,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"242",242,5e+06,95,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"243",243,3e+07,138,0,0,0,1,0,0,0,6,15,0,0,0,0,0,1855365890,1
"244",244,891000,89,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"245",245,31500000,153,0,0,0,1,0,0,0,3,6,1,0,0,0,0,491592262,1
"246",246,24078133.8007948,102,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"247",247,6e+06,107,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0
"248",248,24078133.8007948,117,0,0,0,1,0,0,0,1,2,0,0,0,0,0,173802340,0
"249",249,24078133.8007948,107.440816326531,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"250",250,8138338,125,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"251",251,3.1e+07,103,1,0,0,0,0,1,0,2,0,1,0,0,0,0,0,1
"252",252,1.2e+07,100,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,1
"253",253,44500000,120,0,0,0,1,0,0,0,3,1,1,0,0,0,0,22678555,1
"254",254,3e+06,117,0,0,0,1,0,0,0,1,4,1,0,0,0,0,53460471,1
"255",255,9200000,157,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1
"256",256,24078133.8007948,113,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"257",257,1.8e+07,100,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0
"258",258,3e+07,84,0,1,1,0,0,0,0,2,1,0,0,0,0,0,68411275,1
